Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
10 Minute Solution,Wii,2010.0,Sports,0.06,0.01,0.0,0.01,,tbd,E
100 All-Time Favorites,DS,2009.0,Puzzle,0.35,0.12,0.0,0.04,,6.2,E
100 Classic Books,DS,2008.0,Misc,0.12,0.52,0.0,0.02,70.0,6,
100 Classic Games,DS,2011.0,Misc,0.0,0.03,0.0,0.0,,,
1000 Cooking Recipes from ELLE à table,DS,2010.0,Misc,0.0,0.02,0.0,0.0,,,
1001 Touch Games,DS,2011.0,Action,0.11,0.16,0.0,0.04,,tbd,E
101-in-1 Explosive Megamix,DS,2008.0,Puzzle,0.05,0.12,0.0,0.02,46.0,tbd,E
101-in-1 Party Megamix Wii,Wii,2009.0,Misc,0.19,0.01,0.0,0.02,,,
101-in-1 Sports Megamix,DS,2010.0,Sports,0.08,0.0,0.0,0.01,,tbd,E10+
101-in-1 Sports Party Megamix,Wii,2010.0,Sports,0.02,0.0,0.0,0.0,41.0,tbd,E10+
1080°: TenEighty Snowboarding,N64,1998.0,Sports,1.25,0.61,0.13,0.05,,,
11eyes: CrossOver,X360,2009.0,Adventure,0.0,0.0,0.02,0.0,,,
11eyes: CrossOver,PSP,2010.0,Adventure,0.0,0.0,0.02,0.0,,,
12-Sai. Honto no Kimochi,3DS,2014.0,Adventure,0.0,0.0,0.07,0.0,,,
12-Sai. Koisuru Diary,3DS,2016.0,Adventure,0.0,0.0,0.05,0.0,,,
12Riven: The Psi-Climinal of Integral,PS2,2008.0,Adventure,0.0,0.0,0.04,0.0,,,
15 Days,PC,2009.0,Adventure,0.0,0.01,0.0,0.0,63.0,5.8,
1701 A.D.,PC,2006.0,Simulation,0.0,0.25,0.0,0.04,79.0,8.3,E10+
18 Wheeler: American Pro Trucker,PS2,2001.0,Racing,0.2,0.15,0.0,0.05,61.0,5.7,E
18 Wheeler: American Pro Trucker,GC,2002.0,Racing,0.09,0.02,0.0,0.0,52.0,6.8,E
18 Wheels of Steel: Extreme Trucker,PC,2009.0,Racing,0.0,0.02,0.0,0.0,,8,
18 Wheels of Steel: Extreme Trucker 2,PC,2011.0,Racing,0.08,0.02,0.0,0.01,,8.3,E
187: Ride or Die,PS2,2005.0,Racing,0.07,0.06,0.0,0.02,52.0,6.8,M
187: Ride or Die,XB,2005.0,Racing,0.05,0.01,0.0,0.0,51.0,6.9,M
2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,GBA,2005.0,Racing,0.09,0.03,0.0,0.0,,,
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,2007.0,Action,1.26,0.47,0.0,0.03,,,
2 Games in 1: Disney Princess & The Lion King,GBA,2004.0,Misc,1.25,0.46,0.0,0.03,,,
2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,GBA,2005.0,Action,0.22,0.08,0.0,0.01,,,
2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,2005.0,Misc,1.31,0.49,0.0,0.03,,,
2 Games in 1: Sonic Battle & ChuChu Rocket!,GBA,2005.0,Misc,0.44,0.16,0.0,0.01,,,
2 Games in 1: Sonic Pinball Party & Columns Crown,GBA,2005.0,Misc,0.04,0.02,0.0,0.0,,,
2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,GBA,2005.0,Platform,0.33,0.12,0.0,0.01,,,
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,XB,2004.0,Misc,0.4,0.11,0.0,0.02,,,
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,X360,2013.0,Misc,0.09,0.01,0.0,0.01,,,
2-in-1 Game Pack: Spider-Man & Spider-Man 2,GBA,2005.0,Platform,0.06,0.02,0.0,0.0,,,
2002 FIFA World Cup,XB,2002.0,Sports,0.14,0.04,0.0,0.01,79.0,9,E
2002 FIFA World Cup,PS2,2002.0,Sports,0.21,0.17,0.16,0.06,73.0,5.6,E
2002 FIFA World Cup,GC,2002.0,Sports,0.04,0.01,0.0,0.0,78.0,7.7,E
2010 FIFA World Cup South Africa,X360,2010.0,Sports,0.32,0.42,0.02,0.09,83.0,8.1,E
2010 FIFA World Cup South Africa,PSP,2010.0,Sports,0.09,0.22,0.03,0.12,69.0,7.4,E
2010 FIFA World Cup South Africa,Wii,2010.0,Sports,0.23,0.15,0.01,0.04,70.0,6.7,E
2010 FIFA World Cup South Africa,PS3,2010.0,Sports,0.3,0.64,0.07,0.22,82.0,7.8,E
2014 FIFA World Cup Brazil,PS3,2014.0,Sports,0.15,0.36,0.01,0.09,73.0,4.3,E
2014 FIFA World Cup Brazil,X360,2014.0,Sports,0.15,0.25,0.0,0.03,74.0,4.4,E
24: The Game,PS2,2006.0,Adventure,0.15,0.12,0.0,0.04,62.0,8.2,M
25 to Life,XB,2006.0,Shooter,0.12,0.04,0.0,0.01,41.0,7.2,M
25 to Life,PS2,2006.0,Shooter,0.35,0.01,0.0,0.06,39.0,4.9,M
2Xtreme,PS,1996.0,Sports,1.15,0.2,0.0,0.05,,,
"3 in 1: Solitaire, Mahjong & Tangram",DS,2010.0,Misc,0.0,0.07,0.0,0.01,,,
300: March to Glory,PSP,2007.0,Action,0.27,0.08,0.0,0.07,55.0,7.1,M
3D Baseball,PS,1996.0,Sports,0.02,0.01,0.0,0.0,,,
3D Dot Game Heroes,PS3,2009.0,Role-Playing,0.36,0.11,0.03,0.07,77.0,8,E10+
3D Lemmings,PS,1995.0,Puzzle,0.03,0.02,0.0,0.0,,,
3D Tank Warfare Simulator Panzer Front,PS,1999.0,Simulation,0.06,0.04,0.0,0.01,,,
3DS Classic Collection,3DS,2016.0,Misc,0.03,0.0,0.0,0.0,,,
3rd Super Robot Wars Z Jigoku Hen,PS3,2014.0,Role-Playing,0.0,0.0,0.23,0.0,,,
3rd Super Robot Wars Z Jigoku Hen,PSV,2014.0,Role-Playing,0.0,0.0,0.19,0.0,,,
3rd Super Robot Wars Z: Tengoku-Hen,PSV,2015.0,Action,0.0,0.0,0.19,0.0,,,
3rd Super Robot Wars Z: Tengoku-Hen,PS3,2015.0,Action,0.0,0.0,0.15,0.0,,,
3Xtreme,PS,1999.0,Action,0.5,0.34,0.0,0.06,,,
4 Elements,PC,2009.0,Puzzle,0.0,0.04,0.0,0.01,,7.4,E
4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,DS,2005.0,Misc,0.1,0.0,0.0,0.01,,,
4 Nin uchi Mahjong,NES,1984.0,Misc,0.0,0.0,1.45,0.0,,,
4 Play Collection - Dark Mysteries,PC,2014.0,Misc,0.0,0.01,0.0,0.0,,,
40 Winks,PS,1999.0,Platform,0.17,0.12,0.0,0.02,,,
428: Fuusa Sareta Shibuya de,Wii,2008.0,Adventure,0.0,0.0,0.13,0.0,,,
428: Fuusa Sareta Shibuya de,PSP,2009.0,Adventure,0.0,0.0,0.04,0.0,,,
428: Fuusa Sareta Shibuya de,PS3,2009.0,Adventure,0.0,0.0,0.02,0.0,,,
4x4 EVO 2,XB,2001.0,Racing,0.18,0.05,0.0,0.01,59.0,6.2,E
4x4 EVO 2,GC,2002.0,Racing,0.11,0.03,0.0,0.0,56.0,tbd,E
4x4 Evolution,PS2,2001.0,Racing,0.16,0.12,0.0,0.04,64.0,tbd,E
50 Cent: Blood on the Sand,PS3,2009.0,Shooter,0.1,0.06,0.01,0.03,72.0,7.2,M
50 Cent: Blood on the Sand,X360,2009.0,Shooter,0.12,0.07,0.0,0.02,71.0,6.4,M
50 Cent: Bulletproof,PS2,2005.0,Action,0.85,0.76,0.0,0.16,47.0,6.6,M
50 Cent: Bulletproof,XB,2005.0,Action,0.33,0.1,0.0,0.02,50.0,5.9,M
50 Cent: Bulletproof,PSP,2006.0,Action,0.08,0.0,0.0,0.01,,,
50 Classic Games,DS,2009.0,Misc,0.5,0.0,0.0,0.04,,tbd,E
50 Classic Games,3DS,2012.0,Misc,0.0,0.01,0.0,0.0,,,
64 de Hakken! Tamagotchi Minna de Tamagotchi World,N64,1997.0,Misc,0.0,0.0,0.22,0.0,,,
7 Days to Die,XOne,2016.0,Action,0.03,0.02,0.0,0.0,35.0,5.2,M
7 Days to Die,PS4,2016.0,Action,0.04,0.08,0.0,0.02,45.0,5.9,M
7 Roses: A Darkness Rises,PC,2015.0,Misc,0.0,0.02,0.0,0.0,,,
7 Wonders II,DS,2009.0,Puzzle,0.13,0.15,0.0,0.03,60.0,tbd,E
7 Wonders of the Ancient World,DS,2007.0,Puzzle,0.1,0.01,0.0,0.01,60.0,8.3,E
7 Wonders of the Ancient World,PSP,2007.0,Puzzle,0.07,0.0,0.0,0.01,51.0,tbd,E
7 Wonders: Treasures of Seven,DS,2011.0,Puzzle,0.01,0.02,0.0,0.0,,,
7th Dragon,DS,2009.0,Role-Playing,0.0,0.0,0.14,0.0,,,
7th Dragon 2020,PSP,2011.0,Role-Playing,0.0,0.0,0.2,0.0,,,
7th Dragon 2020-II,PSP,2013.0,Role-Playing,0.0,0.0,0.13,0.0,,,
7th Dragon III Code: VFD,3DS,2015.0,Role-Playing,0.04,0.0,0.12,0.0,77.0,8.2,T
98 Koshien,PS,1998.0,Sports,0.15,0.1,0.12,0.03,,,
99 no Namida,DS,2008.0,Adventure,0.0,0.0,0.04,0.0,,,
"999: Nine Hours, Nine Persons, Nine Doors",DS,2009.0,Adventure,0.31,0.0,0.03,0.02,,,
A Boy and His Blob,Wii,2009.0,Platform,0.18,0.01,0.0,0.01,80.0,8.7,E
A Bug's Life,PS,1998.0,Platform,1.96,0.72,0.0,0.11,,,
A Bug's Life,N64,1998.0,Platform,0.49,0.13,0.0,0.01,,,
A Collection of Activision Classic Games for the Atari 2600,PS,1998.0,Misc,0.76,0.52,0.0,0.09,,,
A Collection of Classic Games from the Intellivision,PS,1999.0,Misc,0.17,0.12,0.0,0.02,,,
A Game of Thrones: Genesis,PC,2011.0,Strategy,0.0,0.03,0.0,0.01,53.0,4,
A Good Librarian Like a Good Shepherd: Library Party,PSV,2015.0,Action,0.0,0.0,0.03,0.0,,,
A llI S.V.: A Ressha de Gyoukou 3 Super Version,SNES,1995.0,Simulation,0.0,0.0,0.06,0.0,,,
A New Beginning,PC,2010.0,Adventure,0.0,0.05,0.0,0.01,,,
A Ressha de Gyoukou 2001,PS2,2001.0,Simulation,0.0,0.0,0.03,0.0,,,
A Ressha de Ikou DS,DS,2009.0,Simulation,0.0,0.0,0.04,0.0,,,
A Vampyre Story,PC,2008.0,Adventure,0.0,0.01,0.0,0.0,75.0,8.5,T
A Witch's Tale,DS,2009.0,Role-Playing,0.08,0.0,0.03,0.01,50.0,6.2,E10+
A-Train,PS,1995.0,Simulation,0.02,0.01,0.04,0.01,,,
A-Train 6,PS2,2000.0,Strategy,0.0,0.0,0.06,0.0,,,
A-Train: City Simulator,3DS,2014.0,Simulation,0.0,0.0,0.06,0.0,65.0,tbd,E10+
A. IV Evolution: A Ressha de Ikou 4,PS,1994.0,Strategy,0.0,0.0,0.24,0.02,,,
A.C.E.: Another Century's Episode,PS2,2005.0,Simulation,0.0,0.0,0.26,0.0,,,
A.C.E.: Another Century's Episode 2,PS2,2006.0,Simulation,0.0,0.0,0.18,0.0,,,
A.C.E.: Another Century's Episode 3: The Final,PS2,2007.0,Simulation,0.0,0.0,0.26,0.0,,,
A.C.E.: Another Century's Episode Portable,PSP,2011.0,Simulation,0.0,0.0,0.12,0.0,,,
A.C.E.: Another Century's Episode R,PS3,2010.0,Simulation,0.0,0.0,0.26,0.0,,,
Aa Megami-samaa,PS2,2007.0,Adventure,0.0,0.0,0.01,0.0,,,
ABBA: You Can Dance,Wii,2011.0,Misc,0.18,0.49,0.0,0.1,66.0,tbd,E10+
Abunai: Koi no Sousa Shitsu,PSV,2015.0,Action,0.0,0.0,0.02,0.0,,,
Abunai: Koi no Sousa Shitsu,PSP,2012.0,Action,0.0,0.0,0.01,0.0,,,
AC/DC LIVE: Rock Band Track Pack,Wii,2008.0,Misc,0.24,0.0,0.0,0.02,,7.2,T
AC/DC LIVE: Rock Band Track Pack,PS3,2008.0,Misc,0.21,0.01,0.0,0.02,60.0,5.3,T
AC/DC LIVE: Rock Band Track Pack,X360,2008.0,Misc,0.21,0.0,0.0,0.02,63.0,4.9,T
AC/DC LIVE: Rock Band Track Pack,PS2,2008.0,Misc,0.08,0.06,0.0,0.02,,tbd,T
Academy of Champions: Soccer,Wii,2009.0,Sports,0.09,0.02,0.0,0.01,64.0,6.8,E
Accel World: Ginyoku no Kakusei,PS3,2012.0,Adventure,0.0,0.0,0.03,0.0,,,
Accel World: Ginyoku no Kakusei,PSP,2012.0,Adventure,0.0,0.0,0.03,0.0,,,
Accel World: Kasoku no Chouten,PS3,2013.0,Adventure,0.0,0.0,0.02,0.0,,,
Accel World: Kasoku no Chouten,PSP,2013.0,Adventure,0.0,0.0,0.01,0.0,,,
Ace Attorney 6,3DS,2016.0,Adventure,0.0,0.0,0.27,0.0,,,
Ace Attorney Investigations 2,DS,2011.0,Adventure,0.0,0.0,0.26,0.0,,,
Ace Attorney Investigations: Miles Edgeworth,DS,2009.0,Adventure,0.23,0.14,0.3,0.04,78.0,8.4,T
Ace Combat 04: Shattered Skies,PS2,2001.0,Simulation,02.06,0.56,0.38,0.17,89.0,9.1,E
Ace Combat 2,PS,1997.0,Simulation,0.16,0.11,0.56,0.06,83.0,8.2,T
Ace Combat 3: Electrosphere,PS,1999.0,Simulation,0.22,0.15,0.4,0.05,,,
Ace Combat 5: The Unsung War,PS2,2004.0,Simulation,0.88,0.34,0.32,0.18,84.0,9.1,T
Ace Combat 6: Fires of Liberation,X360,2007.0,Simulation,0.69,0.04,0.22,0.06,80.0,7.9,T
Ace Combat X: Skies of Deception,PSP,2006.0,Simulation,0.37,0.3,0.12,0.19,75.0,8.3,T
Ace Combat Zero: The Belkan War,PS2,2006.0,Simulation,0.15,0.12,0.2,0.04,75.0,8.4,T
Ace Combat: Assault Horizon,X360,2011.0,Action,0.3,0.12,0.03,0.04,78.0,6.2,T
Ace Combat: Assault Horizon,PS3,2011.0,Action,0.3,0.15,0.22,0.07,77.0,6.7,T
Ace Combat: Assault Horizon Legacy,3DS,2011.0,Simulation,0.1,0.06,0.08,0.01,71.0,7.8,T
Ace Combat: Joint Assault,PSP,2010.0,Simulation,0.06,0.05,0.15,0.03,71.0,7.2,T
Achtung Panzer: Kharkov 1943,PC,2010.0,Strategy,0.0,0.01,0.0,0.0,70.0,8.3,
Act of Aggression,PC,2015.0,Strategy,0.0,0.01,0.0,0.0,71.0,7.1,
Action Bass,PS,2000.0,Action,0.64,0.43,0.0,0.07,51.0,tbd,E
Action Force,2600,1982.0,Action,0.5,0.03,0.0,0.01,,,
Action Man-Operation Extreme,PS,,Action,0.05,0.03,0.0,0.01,,,
Active Health with Carol Vorderman,DS,2009.0,Sports,0.0,0.18,0.0,0.01,,,
Active Life Explorer,Wii,2010.0,Sports,0.13,0.0,0.0,0.01,,tbd,E
Active Life: Extreme Challenge,Wii,2009.0,Sports,0.14,0.27,0.0,0.06,56.0,tbd,E
Active Life: Magical Carnival,Wii,2011.0,Misc,0.03,0.01,0.0,0.0,,tbd,E
Active Life: Outdoor Challenge,Wii,2008.0,Sports,0.78,0.43,0.19,0.14,69.0,8.1,E
Activision Anthology,PS2,2002.0,Misc,0.25,0.19,0.0,0.06,75.0,7.7,E
Activision Anthology,GBA,2003.0,Misc,0.03,0.01,0.0,0.0,79.0,tbd,E
Activision Hits: Remixed,PSP,2006.0,Misc,0.05,0.0,0.0,0.0,75.0,tbd,E
Actua Tennis,PS,1997.0,Sports,0.07,0.05,0.0,0.01,,,
Adidas Power Soccer,PS,1996.0,Sports,0.02,0.01,0.0,0.0,,,
Adidas Power Soccer 98,PS,1998.0,Sports,0.01,0.01,0.0,0.0,,,
Adrenalin Misfits,X360,2010.0,Racing,0.12,0.02,0.0,0.01,50.0,tbd,E
Advance Guardian Heroes,GBA,2004.0,Role-Playing,0.03,0.01,0.0,0.0,65.0,tbd,E
Advance Wars,GBA,2001.0,Strategy,0.5,0.19,0.0,0.01,92.0,9,E
Advance Wars 2: Black Hole Rising,GBA,2003.0,Strategy,0.47,0.17,0.0,0.01,89.0,9.4,E
Advance Wars: Days of Ruin,DS,,Strategy,0.43,0.12,0.0,0.05,86.0,8.7,E10+
Advance Wars: Dual Strike,DS,2005.0,Strategy,0.3,0.02,0.04,0.03,90.0,9,E
Advent Rising,XB,2005.0,Action,0.1,0.03,0.0,0.0,68.0,7.5,T
Adventure,2600,,Adventure,1.21,0.08,0.0,0.01,,,
Adventure Island,NES,1986.0,Platform,0.0,0.0,01.05,0.0,,,
Adventure Time: Explore the Dungeon Because I Don't Know!,3DS,2013.0,Action,0.1,0.03,0.0,0.01,,,
Adventure Time: Explore the Dungeon Because I Don't Know!,X360,2013.0,Action,0.03,0.04,0.0,0.01,,,
Adventure Time: Explore the Dungeon Because I Don't Know!,PS3,2013.0,Action,0.02,0.01,0.0,0.01,,,
Adventure Time: Explore the Dungeon Because I Don't Know!,WiiU,2013.0,Action,0.02,0.01,0.0,0.0,,,
Adventure Time: Finn & Jake Investigations,PS4,2015.0,Action,0.03,0.05,0.0,0.02,,,
Adventure Time: Finn & Jake Investigations,PS3,2015.0,Action,0.02,0.05,0.0,0.01,,,
Adventure Time: Finn & Jake Investigations,3DS,2015.0,Action,0.03,0.05,0.0,0.01,,,
Adventure Time: Finn & Jake Investigations,X360,2015.0,Action,0.03,0.05,0.0,0.01,,,
Adventure Time: Finn & Jake Investigations,XOne,2015.0,Action,0.03,0.02,0.0,0.0,,,
Adventure Time: Finn & Jake Investigations,WiiU,2015.0,Action,0.03,0.02,0.0,0.0,,,
Adventure Time: The Secret of the Nameless,3DS,2014.0,Adventure,0.01,0.0,0.0,0.0,,,
Adventure Time: The Secret of the Nameless,X360,2014.0,Adventure,0.01,0.0,0.0,0.0,,,
Adventure Time: The Secret of the Nameless Kingdom,X360,2014.0,Action,0.0,0.05,0.0,0.0,58.0,7.5,E10+
Adventure Time: The Secret of the Nameless Kingdom,3DS,2014.0,Action,0.0,0.07,0.0,0.0,65.0,5.6,E10+
Adventures of Lolo,NES,1989.0,Puzzle,0.06,0.0,0.0,0.0,,,
Adventures of Tron,2600,1981.0,Action,0.63,0.03,0.0,0.01,,,
Adventures to Go!,PSP,2008.0,Role-Playing,0.11,0.0,0.01,0.02,,,
Aedis Eclipse: Generation of Chaos,PSP,2006.0,Role-Playing,0.02,0.0,0.0,0.0,62.0,6.5,E10+
Aegis of Earth: Protonovus Assault,PSV,2016.0,Action,0.01,0.01,0.0,0.01,,8.3,T
Aegis of Earth: Protonovus Assault,PS4,2016.0,Action,0.02,0.0,0.0,0.0,57.0,7.8,T
Aegis of Earth: Protonovus Assault,PS3,2016.0,Action,0.01,0.01,0.0,0.0,,tbd,T
Aeon Flux,XB,2005.0,Action,0.01,0.0,0.0,0.0,69.0,3,T
Aeon Flux,PS2,2005.0,Action,0.02,0.02,0.0,0.01,66.0,5.8,T
Aero Elite: Combat Academy,PS2,2002.0,Simulation,0.04,0.03,0.0,0.01,64.0,7,E
Aero Gauge,N64,1997.0,Racing,0.06,0.01,0.0,0.0,,,
AeroFighters Assault,N64,1997.0,Action,0.15,0.04,0.0,0.0,,,
Afrika,PS3,2008.0,Adventure,0.12,0.0,0.08,0.01,63.0,6.2,E10+
Afro Samurai,PS3,2009.0,Action,0.12,0.05,0.0,0.03,65.0,6.1,M
Afro Samurai,X360,2009.0,Action,0.16,0.05,0.0,0.02,65.0,6.2,M
After Hours Athletes,PS3,2011.0,Sports,0.0,0.1,0.0,0.02,,,
Again,DS,2009.0,Adventure,0.07,0.0,0.0,0.0,,,
Agarest Senki: Re-appearance,PS3,,Role-Playing,0.0,0.0,0.01,0.0,,,
Agassi Tennis Generation,PS2,2003.0,Sports,0.04,0.03,0.0,0.01,,6,E
Agatha Christie: And Then There Were None,Wii,2008.0,Adventure,0.06,0.01,0.0,0.01,50.0,6.2,T
Agatha Christie: Death on the Nile,PC,2008.0,Adventure,0.0,0.01,0.0,0.0,,tbd,T
Agatha Christie: Evil Under the Sun,Wii,2008.0,Adventure,0.06,0.01,0.0,0.01,46.0,7.3,T
Agatha Christie: Peril at End House,PC,2009.0,Adventure,0.0,0.01,0.0,0.0,,tbd,T
Agatha Christie: The ABC Murders,DS,2009.0,Adventure,0.08,0.01,0.0,0.01,53.0,6.5,T
Agatha Christie: The ABC Murders,PC,2016.0,Adventure,0.0,0.02,0.0,0.0,66.0,8.5,
Agatha Christie's The ABC Murders,PS4,2016.0,Adventure,0.01,0.01,0.0,0.0,67.0,6.2,T
Agatha Christie's The ABC Murders,XOne,2016.0,Adventure,0.01,0.0,0.0,0.0,66.0,7.5,
Age of Conan: Rise of the Godslayer,PC,2010.0,Role-Playing,0.0,0.02,0.0,0.0,83.0,8.4,M
Age of Empires II: The Age of Kings,PC,1999.0,Strategy,0.01,0.08,0.0,0.01,92.0,9,T
Age of Empires III,PC,2005.0,Strategy,0.0,0.33,0.0,0.05,81.0,7.7,T
Age of Empires III: Complete Collection,PC,2009.0,Strategy,0.01,0.12,0.0,0.03,,8.5,T
Age of Empires III: Gold Edition,PC,2007.0,Strategy,0.0,0.02,0.0,0.0,,7.8,T
Age of Empires III: The Asian Dynasties,PC,2007.0,Strategy,0.0,0.05,0.0,0.01,81.0,8.5,T
Age of Empires Online,PC,2011.0,Strategy,0.01,0.04,0.0,0.01,70.0,5.6,E10+
Age of Empires: Collector's Edition,PC,2000.0,Strategy,0.02,0.1,0.0,0.02,,8,T
Age of Empires: Mythologies,DS,2008.0,Strategy,0.16,0.03,0.0,0.02,78.0,6.9,E10+
Age of Empires: The Age of Kings,DS,2006.0,Strategy,0.18,0.02,0.0,0.02,80.0,7.9,E10+
Age of Mythology,PC,2002.0,Strategy,0.02,0.06,0.0,0.01,89.0,8.9,T
Age of Mythology: The Titans,PC,2003.0,Strategy,0.02,0.02,0.0,0.0,84.0,8.7,T
Aggressive Inline,XB,2002.0,Sports,0.05,0.01,0.0,0.0,85.0,7.7,T
Aggressive Inline,PS2,2002.0,Sports,0.17,0.13,0.0,0.04,85.0,8.7,T
Aggressive Inline,GC,2002.0,Sports,0.04,0.01,0.0,0.0,88.0,7.8,T
Agile Warrior F-111X,PS,1995.0,Simulation,0.08,0.05,0.0,0.01,,,
Aibou DS,DS,2009.0,Adventure,0.0,0.0,0.08,0.0,,,
Aidyn Chronicles: The First Mage,N64,2001.0,Role-Playing,0.08,0.02,0.0,0.0,,,
Aikatsu Stars! My Special Appeal,3DS,2016.0,Action,0.0,0.0,0.01,0.0,,,
Aikatsu! 2-nin no My Princess,3DS,2013.0,Action,0.0,0.0,0.26,0.0,,,
Aikatsu! 365 Idol Days,3DS,2014.0,Adventure,0.0,0.0,0.13,0.0,,,
Aikatsu! Cinderella Lesson,3DS,2012.0,Role-Playing,0.0,0.0,0.2,0.0,,,
Aikatsu! My No.1 Stage!,3DS,2015.0,Misc,0.0,0.0,0.08,0.0,,,
Ailu de Puzzle,PSP,2012.0,Action,0.0,0.0,0.04,0.0,,,
AIR,PSP,2007.0,Adventure,0.0,0.0,0.02,0.0,,,
Air Combat,PS,1995.0,Simulation,0.92,0.33,0.52,0.05,,,
Air Conflicts: Aces of World War II,PSP,2009.0,Simulation,0.05,0.0,0.0,0.0,36.0,tbd,T
Air Conflicts: Secret Wars,PC,2011.0,Simulation,0.0,0.02,0.0,0.01,65.0,6.4,T
Air Conflicts: Secret Wars,PS3,2011.0,Simulation,0.1,0.06,0.0,0.03,51.0,tbd,T
Air Conflicts: Secret Wars,X360,2011.0,Simulation,0.06,0.02,0.0,0.01,61.0,tbd,T
Air Raid,2600,1981.0,Action,0.72,0.04,0.0,0.01,,,
Air Traffic Chaos,DS,2007.0,Simulation,0.05,0.0,0.0,0.0,66.0,tbd,E
Air-Sea Battle,2600,,Shooter,0.91,0.06,0.0,0.01,,,
Airblade,PS2,2001.0,Sports,0.11,0.09,0.0,0.03,70.0,5.8,T
Airborne Troops: Countdown to D-Day,PS2,2005.0,Shooter,0.06,0.05,0.0,0.02,39.0,8.1,T
AirForce Delta Storm,XB,2001.0,Shooter,0.14,0.04,0.0,0.01,61.0,7.1,E
AirForce Delta Storm,GBA,2002.0,Shooter,0.02,0.01,0.0,0.0,71.0,tbd,E
AirForce Delta Strike,PS2,2004.0,Simulation,0.05,0.04,0.0,0.01,66.0,7,T
Airline Tycoon,PC,2000.0,Simulation,0.0,0.01,0.0,0.0,,8,E
Airline Tycoon 2,PC,2011.0,Simulation,0.0,0.04,0.0,0.01,57.0,5.5,E
Airlock,2600,1981.0,Action,0.36,0.02,0.0,0.0,,,
Airport Simulator,PC,2011.0,Simulation,0.0,0.02,0.0,0.0,,,
